"Employment income statistics by major field of study (detailed, 4-digit) and highest level of education: Canada, provinces and territories"
"Frequency: Occasional"
"Table: 98-10-0409-01"
"Release date: 2023-10-04"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over in private households, 2021 Census — 25% Sample data"
"Variable List: Major field of study - Classification of Instructional Programs (CIP) 2021 (500), Gender (3), Age (15A), Highest certificate, diploma or degree (16), Work activity during the reference year (5), Income year (2), Employment income statistics (7)"

"Geography","Canada i1",,,,,,
"Gender (3) 1 2","Total - Gender",,,,,,
"Age (15A) 3","Total - Age",,,,,,
"Highest certificate, diploma or degree (16) 4","Master's degree",,,,,,
"Work activity during the reference year (5) 5","Total - Work activity during the reference year 6",,,,,,
"Income year (2)","2020",,,,,,
"Employment income statistics (7)","Total - Employment income statistics 8 9 10 11","With employment income","Median employment income ($)","Average employment income ($)","With wages, salaries and commissions","Median wages, salaries and commissions ($)","Average wages, salaries and commissions ($)"
"26.99 Biological and biomedical sciences, other","20","20","x","40,000","20","x","24,000"
"30.01 Biological and physical sciences","13,965","11,420","63,600","78,000","10,495","67,000","78,700"
"30C Other interdisciplinary physical and life sciences","1,460","1,240","60,400","63,300","1,155","62,800","64,200"
"30.10 Biopsychology","50","50","75,500","76,000","45","62,800","74,000"
"30.18 Natural sciences","105","60","52,400","60,000","60","58,000","62,000"
"30.19 Nutrition sciences","670","600","58,800","62,000","560","59,200","61,000"
"30.27 Human biology","65","55","94,000","100,000","55","94,000","100,000"
"30.32 Marine sciences","125","95","48,800","46,000","90","57,600","48,000"
"30.35 Climate science","295","245","59,600","61,600","225","60,400","65,500"
"30.38 Earth systems science","0","0","...","...","0","...","..."
"30.41 Environmental geosciences","135","120","72,500","67,000","110","72,500","70,000"
"30.42 Geoarchaeology","0","0","...","...","0","...","..."
"30.43 Geobiology","0","0","...","...","0","...","..."
"30.50 Mathematics and atmospheric/oceanic science","0","0","...","...","0","...","..."
"40. Physical sciences","40,600","31,715","59,200","74,400","29,590","62,000","77,000"
"40.01 Physical sciences, general","1,485","1,250","83,000","91,400","1,225","83,000","91,600"
"40.02 Astronomy and astrophysics","770","585","64,000","63,600","565","64,500","65,200"
"40.04 Atmospheric sciences and meteorology","725","540","81,000","71,200","510","81,000","73,200"
"40.05 Chemistry","15,180","11,935","53,200","65,500","11,175","56,800","67,200"
"40.06 Geological and Earth sciences/geosciences","11,375","9,055","66,000","87,400","8,415","69,500","91,300"
"40.08 Physics","9,750","7,390","58,400","72,000","6,835","61,600","74,400"
"40.10 Materials sciences","1,190","855","44,000","70,400","775","47,200","76,200"
"40.11 Physics and astronomy","110","85","46,800","57,000","85","46,800","54,000"
"40.99 Physical sciences, other","20","20","x","30,000","0","...","..."
